Time,value
03:21:00,20.5701396973225
03:22:00,19.7279391034677
03:23:00,17.6507523148148
03:24:00,17.401758641601
03:25:00,16.7546870034954
03:26:00,17.103146286085
03:27:00,17.3903371567605
03:28:00,17.4919151994251
03:29:00,17.4384479717813
03:30:00,18.5341379310345
03:31:00,18.2950596252129
03:32:00,18.4848167539267
03:33:00,19.705078125
03:34:00,19.6043072966892
03:35:00,18.1431424766977
03:36:00,18.072126727334
03:37:00,18.3985362608117
03:38:00,18.4199276553765
03:39:00,18.7077131258457
03:40:00,22.0635769459299
03:41:00,21.7279517380063
03:42:00,20.1359195402299
03:43:00,19.0640279394645
03:44:00,19.3485390578414
03:45:00,18.9661071659135
03:46:00,19.3793677204659
03:47:00,18.9556650246305
03:48:00,18.812789927104
03:49:00,20.0574488802337
